en,ko
hello,안녕하세요
hi,안녕
thank you,감사합니다
thanks,고마워요
good morning,좋은 아침입니다
good night,잘 자요
i love you,사랑합니다
i am a student,나는 학생입니다
i am happy,나는 행복합니다
i am hungry,나는 배고픕니다
i am tired,나는 피곤합니다
what is your name,이름이 무엇인가요
my name is minsu,제 이름은 민수입니다
nice to meet you,만나서 반갑습니다
how are you,어떻게 지내세요
i am fine,저는 잘 지냅니다
where are you going,어디에 가세요
what are you doing,무엇을 하고 있나요
i study python,나는 파이썬을 공부합니다
i like coffee,나는 커피를 좋아합니다
i like music,나는 음악을 좋아합니다
this is a book,이것은 책입니다
this is my computer,이것은 내 컴퓨터입니다
please help me,도와주세요
please wait,기다려 주세요
see you again,다시 만나요
have a good day,좋은 하루 보내세요
i do not know,잘 모르겠습니다
english is difficult,영어는 어렵습니다
korean is interesting,한국어는 재미있습니다
open the door,문을 열어 주세요
close the window,창문을 닫아 주세요
where is the station,역은 어디에 있나요
i want water,물을 원합니다
it is raining,비가 오고 있습니다
it is sunny,날씨가 맑습니다
